Decision,Reason,Note,Title
Include,,,PCovNet+: A CNN-VAE anomaly detection framework with LSTM embeddings for smartwatch-based COVID-19 detection
Exclude,Not original research,"This is a study protocol paper describing a planned observational study, not an original research paper with results. The text explicitly states it is a 'Protocol' for an arrhythmia notification feature study that will be conducted, not a completed research study with findings.",Observational study protocol for an arrhythmia notification feature
Include,,,An Interpretable Deep Learning Optimized Wearable Daily Detection System for Parkinson’s Disease
Include,,,A Comparison among Different Strategies to Detect Potential Unstable Behaviors in Postural Sway
Include,,,Combating False Data Injection Attacks on Human-Centric Sensing Applications
Include,,,AccNet24: A deep learning framework for classifying 24-hour activity behaviours from wrist-worn accelerometer data under free-living environments
Include,,,A Teenager Physical Fitness Evaluation Model Based on 1D-CNN with LSTM and Wearable Running PPG Recordings
Include,,,Quantitative detection of sleep apnea in adults using inertial measurement unit embedded in wristwatch wearable devices
Include,,,Heart Rate and CGM Feature Representation Diabetes Detection From Heart Rate: Learning Joint Features of Heart Rate and Continuous Glucose Monitors Yields Better Representations
Include,,,Hybrid Amplitude Ordinal Partition Networks for ECG Morphology Discrimination: An Application to PVC Recognition
Include,,,Classification of Sleep-Wake State in Ballistocardiogram system based on Deep Learning
Include,,,A Neural Network Estimation of Ankle Torques From Electromyography and Accelerometry
Include,,,Are Machine Learning Models on Wrist Accelerometry Robust against Differences in Physical Performance among Older Adults?
Include,,,"An unbiased, efficient sleep–wake detection algorithm for a population with sleep disorders: change point decoder"
Include,,,Development of artificial intelligence edge computing based wearable device for fall detection and prevention of elderly people
Include,,,"Using Wearable Passive Sensing to Predict Engagement in Binge Eating in Response to Negative Affect: A Multimethod Investigation of Predictive Utility, Feasibility, and Acceptability"
Include,,,A CNN Model for Cardiac Arrhythmias Classification Based on Individual ECG Signals
Include,,,SeizFt: Interpretable Machine Learning for Seizure Detection Using Wearables
Include,,,Analysis of Data from Wearable Sensors for Sleep Quality Estimation and Prediction Using Deep Learning
Include,,,Smartwatch Electrocardiograms for Automated and Manual Diagnosis of Atrial Fibrillation: A Comparative Analysis of Three Models
Include,,,Artificial Intelligence-Based Atrial Fibrillation Recognition Method for Motion Artifact-Contaminated Electrocardiogram Signals Preprocessed by Adaptive Filtering Algorithm
Include,,,An Optimized Hardware Inference of SABiNN: Shift-Accumulate Binarized Neural Network for Sleep Apnea Detection
Include,,,Ambulatory Smartwatch ECG Monitoring among Patients Undergoing Transcatheter Aortic Valve Replacement Early after Discharge: An Observational Study
Include,,,Ecological Momentary Assessments and Passive Sensing in the Prediction of Short-Term Suicidal Ideation in Young Adults
Include,,,Detection and Characterization of Physical Activity and Psychological Stress from Wristband Data
Include,,,A new smart wristband equipped with an artificial intelligence algorithm to detect atrial fibrillation
Include,,,Deep learning with wearable based heart rate variability for prediction of mental and general health
Include,,,Robust Feature Selection for BP Estimation in Multiple Populations: Towards Cuffless Ambulatory BP Monitoring
Exclude,Not wearable devices,"The paper uses RFID tags and antennas which do not meet the wearable device definition. The device is specifically described as an RFID tag and antenna system, not a true wearable device. Quote: 'We construct a channel emulation board (Fig. 5) that allows us to emulate wireless channels in a wired and controlled setup without the need of reader and tag/sensor antennas.'",Fusion Learning on Multiple-Tag RFID Measurements for Respiratory Rate Monitoring
Exclude,Not original research,"This is a study protocol/research study design document, not an original research paper with results. The text explicitly states 'Study Protocol for the' and describes a planned future study, not reporting actual research findings.",Study Protocol for the Artificial Intelligence-Driven Evaluation of Structural Heart Diseases Using Wearable Electrocardiogram (ID-SHD
Exclude,Sample size too small,"The paper explicitly states they are targeting only 30 participants: 'A target of 30 participants will be enrolled, based on a pragmatic approach, which ensures sufficient data are available for analysis.'",Development of an artificial intelligence system to identify hypoglycaemia via ECG in adults with type 1 diabetes: protocol for data collection under controlled and free- living conditions
Include,,,Novel non-invasive in-house fabricated wearable system with a hybrid algorithm for fetal movement recognition
Include,,,Real-time detection of freezing of gait in Parkinson’s disease using multi-head convolutional neural networks and a single inertial sensor
Include,,,Estimation of Gait Parameters in Huntington’s Disease Using Wearable Sensors in the Clinic and Free-living Conditions
Include,,,Mechanocardiography in the Detection of Acute ST Elevation Myocardial Infarction: The MECHANO-STEMI Study
Include,,,Discrimination of Simultaneous Psychological and Physical Stressors Using Wristband Biosignals
Include,,,Mental stress recognition on the fly using neuroplasticity spiking neural networks
Include,,,A machine learning approach to determine resilience utilizing wearable device data: analysis of an observational cohort
Include,,,Exploratory Data Analysis of Human Activity Recognition Based on Smart Phone
Include,,,Telemonitoring of Daily Activity Using Accelerometer and Gyroscope in Smart Home Environments
